Ref,Val,Package,PosX,PosY,Rot,Side
"D137","SK6812MINI-E","SK6812MINI-E_fixed-3d",124.875001,-131.602842,180.000000,bottom
"D138","SK6812MINI-E","SK6812MINI-E_fixed-3d",94.087501,-130.777842,180.000000,bottom
"D139","SK6812MINI-E","SK6812MINI-E_fixed-3d",81.625000,-150.425000,180.000000,bottom
"D140","SK6812MINI-E","SK6812MINI-E_fixed-3d",101.600000,-150.350000,180.000000,bottom
"D141","SK6812MINI-E","SK6812MINI-E_fixed-3d",120.575000,-150.450000,180.000000,bottom
"D142","SK6812MINI-E","SK6812MINI-E_fixed-3d",142.100000,-150.825000,180.000000,bottom
"D143","SK6812MINI-E","SK6812MINI-E_fixed-3d",213.787501,-150.577842,180.000000,bottom
"D144","SK6812MINI-E","SK6812MINI-E_fixed-3d",285.987501,-150.852842,180.000000,bottom
"D145","SK6812MINI-E","SK6812MINI-E_fixed-3d",307.700000,-151.250000,180.000000,bottom
"D146","SK6812MINI-E","SK6812MINI-E_fixed-3d",336.600001,-150.602842,180.000000,bottom
"D147","SK6812MINI-E","SK6812MINI-E_fixed-3d",355.200001,-151.027842,180.000000,bottom
"D148","SK6812MINI-E","SK6812MINI-E_fixed-3d",375.525001,-151.027842,180.000000,bottom
"D149","SK6812MINI-E","SK6812MINI-E_fixed-3d",356.075001,-131.552842,180.000000,bottom
""'1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",310.465000,-102.470000,0.000000,top
"-1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",295.820000,-63.995000,0.000000,top
":;1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",291.215000,-102.445000,0.000000,top
"<1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",262.140000,-121.570000,0.000000,top
"=2","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",315.145000,-63.920000,0.000000,top
">1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",281.315000,-121.470000,0.000000,top
"?/1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",300.585000,-121.620000,0.000000,top
"A1","RaspberryPi_Pico_W","RaspberryPi_Pico_W_SMD_HandSolder",371.810000,-49.255000,0.000000,top
"A2","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",118.085000,-102.345000,0.000000,top
"B1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",204.335000,-121.645000,0.000000,top
"C1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",165.965000,-121.545000,0.000000,top
"CAPS1","SW_Push","SW_Cherry_MX_1.75u_PCB-Gateron-KS-3X",91.770000,-102.270000,0.000000,top
"CMD1","SW_Push","SW_Cherry_MX_1.25u_PCB-Gateron-KS-3X",144.595000,-140.670000,0.000000,top
"D151","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",156.400000,-102.375000,0.000000,top
"D152","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",325.700000,-58.615000,-90.000000,top
"DELL1","SW_Push","SW_Cherry_MX_1.50u_PCB-Gateron-KS-3X",339.095000,-63.920000,0.000000,top
"DOWN1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",357.815000,-140.820000,0.000000,top
"E1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",151.675000,-83.275000,0.000000,top
"ENTER1","SW_Push","SW_Cherry_MX_1.75u_PCB-Gateron-KS-3X",336.770000,-102.470000,0.000000,top
"ESC1","SW_Push","SW_Cherry_MX_1.50u_PCB-Gateron-KS-3X",89.105000,-40.095000,0.000000,top
"F1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",133.990000,-40.160000,0.000000,top
"F2","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",153.195000,-40.160000,0.000000,top
"F3","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",172.325000,-40.185000,0.000000,top
"F4","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",214.665000,-40.145000,0.000000,top
"F5","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",233.845000,-40.170000,0.000000,top
"F9","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",175.585000,-102.370000,0.000000,top
"G1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",194.810000,-102.370000,0.000000,top
"H1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",214.035000,-102.370000,0.000000,top
"I1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",247.915000,-83.070000,0.000000,top
"J1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",233.515000,-102.345000,0.000000,top
"K1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",252.810000,-102.445000,0.000000,top
"L1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",272.040000,-102.395000,0.000000,top
"LCRTL1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",103.785000,-140.545000,0.000000,top
"LEFT1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",338.625000,-140.750000,0.000000,top
"LFN1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",84.725000,-140.635000,0.000000,top
"LSHIFT1","SW_Push","SW_Cherry_MX_2.25u_PCB-Gateron-KS-3X",96.515000,-121.455000,0.000000,top
"M1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",242.860000,-121.470000,0.000000,top
"N0","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",276.515000,-63.895000,0.000000,top
"N1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",104.050000,-64.100000,0.000000,top
